#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
203000	426.0000000013076	-363271.2167803225	300.1881849277192	1.0558764092396664	8.44	1:41:21
204000	428.0000000013172	-363280.06969996676	298.4712314221159	1.0595170474819593	8.44	1:41:01
205000	430.0000000013267	-363098.7349509591	299.55665019431797	1.0576456204032447	8.44	1:40:40
206000	432.0000000013363	-362778.6287414015	299.80951670124773	1.0574455268311245	8.44	1:40:20
207000	434.0000000013458	-363418.3365614355	298.21640156500285	1.057792364040128	8.44	1:40:00
208000	436.0000000013554	-363443.78258508485	297.8460677725603	1.0590838813935126	8.44	1:39:40
209000	438.0000000013649	-362343.58662573295	300.6142894159109	1.0585563627424774	8.44	1:39:19
210000	440.0000000013745	-361460.30350529804	299.98688909768646	1.0608996645068183	8.44	1:38:59
211000	442.000000001384	-363557.5367518506	296.6713072520431	1.0615478404273135	8.44	1:38:38
212000	444.0000000013936	-363582.2525016361	301.07480005431574	1.0654123333841032	8.44	1:38:18
213000	446.0000000014031	-362524.1603940399	298.09440468770225	1.0574297688104266	8.44	1:37:57
214000	448.0000000014127	-362116.41294345097	299.1121631683614	1.0539533107351837	8.44	1:37:37
215000	450.0000000014222	-363996.34481988347	298.08640014712745	1.056140938601493	8.44	1:37:16
216000	452.0000000014318	-362303.2619982541	297.9713728150136	1.060406651541549	8.44	1:36:56
217000	454.0000000014413	-363118.530145302	302.6461791966484	1.063788143341897	8.44	1:36:35
218000	456.00000000145087	-363287.3187314635	301.77409344806074	1.0664780346045413	8.44	1:36:15
219000	458.0000000014604	-363043.5885191829	301.7324222095385	1.0585433559230641	8.44	1:35:54
220000	460.00000000146997	-362951.29715450417	299.3118176751326	1.053836473949555	8.44	1:35:34
221000	462.0000000014795	-362354.4564096432	300.5648526602093	1.0569694914685395	8.44	1:35:13
222000	464.00000000148907	-362319.6291099515	302.07664495734815	1.059423785154298	8.44	1:34:53
223000	466.0000000014986	-361571.059866144	298.5678177068425	1.057677835810596	8.44	1:34:32
224000	468.00000000150817	-362575.00356385537	297.6086121580082	1.0607212849004912	8.44	1:34:12
225000	470.0000000015177	-362001.2510015596	302.6168858765235	1.0593400403558464	8.44	1:33:52
226000	472.00000000152727	-362968.1785054749	301.71330330827664	1.0594764602307587	8.44	1:33:31
227000	474.0000000015368	-362992.73199139535	300.15732926134876	1.0607126981590573	8.44	1:33:11
228000	476.00000000154637	-363021.6519757883	300.39830446136324	1.0602743992858348	8.44	1:32:50
229000	478.0000000015559	-363123.99806446297	303.5803069076365	1.0648413267419483	8.44	1:32:30
230000	480.00000000156547	-362413.95542065054	299.62165886044187	1.0568841907363948	8.44	1:32:09
231000	482.000000001575	-362180.11298625846	301.69183291081526	1.0594519337596677	8.44	1:31:49
232000	484.00000000158457	-362165.2505693042	303.36368486942587	1.057545283182644	8.44	1:31:28
233000	486.0000000015941	-362480.7641275128	301.11573954360733	1.0535282819673502	8.44	1:31:08
234000	488.00000000160367	-362807.57067538117	297.99297465225413	1.058530775245696	8.44	1:30:47
235000	490.0000000016132	-362429.8864722411	300.41451435433265	1.0599278512695844	8.44	1:30:27
236000	492.00000000162277	-363885.7048889801	297.282158840214	1.0596239113459571	8.44	1:30:06
237000	494.0000000016323	-362398.09102136234	300.231522573998	1.0565071615089856	8.44	1:29:46
238000	496.00000000164187	-363265.32917269925	299.4244901018313	1.0594449014981957	8.44	1:29:25
239000	498.0000000016514	-363287.27830647846	300.94275721358184	1.0580949708056187	8.44	1:29:05
